blueWins,blueFirstBlood,exblueWardsPlaced,exblueWardsDestroyed,exblueKills,exblueDeaths,exblueAssists,exblueDragons,exblueHeralds,exblueTowersDestroyed,exblueTotalGold,exblueAvgLevel,exblueTotalExperience,exblueTotalMinionsKilled,exblueTotalJungleMinionsKilled,exblueCSPerMin,exblueGoldPerMin
0,1,13,-4,3,-3,3,0,0,0,643,-0.20000000000000018,-8,-2,-19,-0.1999999999999993,64.29999999999995
0,0,0,0,0,0,3,-1,-1,-1,-2908,-0.20000000000000018,-1173,-66,-9,-6.600000000000001,-290.79999999999995
0,0,0,-3,-4,4,-10,1,0,0,-1172,-0.39999999999999947,-1033,-17,18,-1.6999999999999993,-117.20000000000005
0,0,28,-1,-1,1,-5,0,1,0,-1321,0.0,-7,-34,8,-3.3999999999999986,-132.0999999999999
0,0,58,2,0,0,-1,-1,0,0,-1004,0.0,230,-15,-10,-1.5,-100.40000000000009
1,0,-18,-5,2,-2,4,1,0,0,698,0.0,101,4,-17,0.3999999999999986,69.80000000000018
1,1,-39,2,1,-1,-2,1,0,0,2411,0.39999999999999947,1563,61,18,6.100000000000001,241.10000000000014
0,0,1,2,-8,8,-8,-1,0,0,-2615,-0.1999999999999993,-800,52,-6,5.199999999999999,-261.5
0,0,1,1,0,0,3,-1,-1,0,-1979,0.0,-771,-51,8,-5.100000000000001,-197.9000000000001
1,1,-3,-1,-1,1,1,1,0,0,-1548,0.0,-1574,-27,-4,-2.6999999999999993,-154.79999999999995
0,1,5,1,0,0,1,-1,0,0,331,-0.6000000000000005,-1585,15,-23,1.5,33.100000000000136
0,1,16,1,0,0,-2,0,1,0,-1505,0.0,-635,-31,-12,-3.1000000000000014,-150.5
1,1,6,0,6,-6,10,1,0,0,3274,0.6000000000000005,1659,-2,3,-0.1999999999999993,327.4000000000001
0,0,-6,0,-5,5,-10,0,1,0,-3414,-0.6000000000000005,-1141,-19,1,-1.8999999999999986,-341.39999999999986
1,1,-87,2,0,0,1,0,0,0,-470,-0.20000000000000018,-187,-18,3,-1.8000000000000007,-47.0
0,0,-1,-2,-4,4,-10,0,0,0,-1996,-0.40000000000000036,-1804,-28,2,-2.8000000000000007,-199.5999999999999
1,1,1,-1,8,-8,6,-1,0,0,5228,0.7999999999999998,3378,53,-8,5.300000000000001,522.8
0,0,26,-11,-4,4,-3,0,1,0,-1975,0.0,-1345,-15,1,-1.5,-197.5
1,1,2,1,1,-1,8,-1,-1,0,882,0.20000000000000018,512,-15,-3,-1.5,88.20000000000005
0,0,-4,2,-4,4,-4,0,0,0,-3155,-0.40000000000000036,-2773,-31,-8,-3.099999999999998,-315.5
1,1,2,1,5,-5,11,1,0,0,2526,0.20000000000000018,1625,-11,-3,-1.1000000000000014,252.5999999999999
0,0,-2,-2,-9,9,-9,-1,0,0,-2835,-0.40000000000000036,-2821,-6,-2,-0.5999999999999979,-283.5
0,0,1,-1,-2,2,-7,-1,0,0,-1254,0.0,-567,7,-4,0.6999999999999993,-125.40000000000009
0,0,63,1,1,-1,1,1,1,0,406,-0.20000000000000018,1283,18,3,1.8000000000000007,40.59999999999991
1,0,15,0,-3,3,-3,0,0,0,-1020,0.20000000000000018,493,11,9,1.1000000000000014,-102.0
0,0,-2,-1,-4,4,-9,-1,0,0,-2472,-0.7999999999999998,-1067,-17,8,-1.7000000000000028,-247.20000000000005
1,0,8,-2,2,-2,6,1,0,0,1260,0.20000000000000018,-55,-24,8,-2.400000000000002,126.0
0,1,5,-1,3,-3,7,-1,0,0,1857,0.40000000000000036,2015,26,12,2.6000000000000014,185.69999999999982
0,1,40,2,2,-2,2,1,0,0,1320,0.0,-413,-6,13,-0.6000000000000014,132.0
0,0,0,2,-5,5,-10,1,0,0,-3282,-0.6000000000000005,-1647,8,0,0.8000000000000007,-328.20000000000005
1,1,1,3,5,-5,8,1,0,0,2883,0.7999999999999998,2111,1,4,0.10000000000000142,288.29999999999995
1,1,2,2,3,-3,4,1,1,0,1703,0.39999999999999947,1696,12,3,1.1999999999999993,170.29999999999995
0,0,-7,1,2,-2,3,-1,0,0,608,0.0,-85,-3,-12,-0.3000000000000007,60.799999999999955
0,1,1,1,1,-1,0,-1,0,0,71,0.0,-359,-21,7,-2.099999999999998,7.100000000000136
1,0,25,1,2,-2,-1,-1,0,0,275,0.20000000000000018,872,-19,-6,-1.9000000000000021,27.5
0,0,7,1,-1,1,-1,-1,-1,0,-809,0.0,638,17,2,1.6999999999999993,-80.90000000000009
0,0,-2,2,-6,6,-3,1,0,0,-2771,-0.20000000000000018,-1125,-17,20,-1.6999999999999993,-277.10000000000014
0,1,-20,-2,-1,1,-2,-1,1,0,-1730,-0.20000000000000018,-1236,-11,-19,-1.0999999999999979,-173.0
0,0,-7,2,-2,2,-4,-1,1,0,-904,0.20000000000000018,1377,7,28,0.6999999999999993,-90.40000000000009
0,0,-18,-1,-3,3,-3,-1,1,0,-1683,-0.40000000000000036,-1363,-23,4,-2.3000000000000007,-168.29999999999995
0,0,-13,3,-7,7,-13,-1,0,0,-3025,-0.40000000000000036,-1833,9,9,0.8999999999999986,-302.5
1,0,20,-1,4,-4,5,0,0,0,3004,0.40000000000000036,2300,46,5,4.600000000000001,300.39999999999986
1,0,1,1,3,-3,8,1,0,0,1574,0.0,761,10,-18,1.0,157.4000000000001
1,1,-7,1,0,0,-1,0,0,0,-1036,-0.40000000000000036,-1423,12,-28,1.1999999999999993,-103.59999999999991
0,1,-21,0,-1,1,0,-1,1,0,16,0.40000000000000036,433,9,11,0.8999999999999986,1.599999999999909
0,0,29,-1,-9,9,-6,0,-1,-1,-6386,-0.7999999999999998,-4210,-60,-24,-6.0,-638.5999999999999
1,1,-1,1,9,-9,7,0,0,0,5096,1.1999999999999993,3310,55,-5,5.5,509.5999999999999
1,1,6,-4,4,-4,0,1,0,1,2756,0.20000000000000018,1683,18,-3,1.8000000000000007,275.5999999999999
1,0,3,-2,-1,1,1,0,1,0,-977,-0.20000000000000018,-1025,-38,-12,-3.8000000000000007,-97.70000000000005
0,0,-22,-5,0,0,2,0,0,0,-808,-0.40000000000000036,-1655,-35,12,-3.5,-80.80000000000018
0,0,-8,-4,-2,2,-8,-1,0,0,-1559,-0.20000000000000018,-407,3,-3,0.29999999999999716,-155.89999999999986
1,0,6,-1,-2,2,-1,0,0,0,544,0.0,75,31,5,3.1000000000000014,54.40000000000009
1,1,6,1,3,-3,1,1,1,0,1381,0.0,1017,5,-7,0.5,138.10000000000014
1,1,22,1,2,-2,0,-1,0,0,2031,0.40000000000000036,1449,38,-14,3.8000000000000007,203.0999999999999
0,0,-6,2,0,0,1,1,0,0,131,-0.20000000000000018,370,19,-8,1.9000000000000021,13.100000000000136
0,0,-14,0,-6,6,-7,-1,1,0,-2699,-0.40000000000000036,-2749,23,-1,2.299999999999997,-269.9000000000001
0,1,3,0,-2,2,1,1,0,0,-1672,-0.6000000000000005,-2698,-37,-13,-3.6999999999999993,-167.20000000000005
1,1,1,-1,4,-4,6,1,0,0,1201,0.40000000000000036,316,-21,-2,-2.099999999999998,120.10000000000014
1,1,15,-1,2,-2,1,1,1,0,-108,0.20000000000000018,59,-25,11,-2.5,-10.800000000000182
0,0,-8,-1,3,-3,5,-1,0,1,4633,0.6000000000000005,2269,54,13,5.400000000000002,463.29999999999995
0,0,0,1,-5,5,-4,-1,0,0,-2262,-0.20000000000000018,-1391,-27,14,-2.6999999999999993,-226.20000000000005
0,0,7,1,-1,1,-5,-1,0,0,-49,0.20000000000000018,500,1,25,0.10000000000000142,-4.900000000000091
1,1,-18,-1,2,-2,-1,1,-1,0,1687,0.0,1089,-3,-2,-0.3000000000000007,168.70000000000005
1,1,108,0,8,-8,9,1,1,0,3933,0.7999999999999998,2922,-4,28,-0.40000000000000213,393.3000000000002
0,0,-4,2,-6,6,-3,1,0,0,-4061,-0.8000000000000007,-4397,-21,-31,-2.099999999999998,-406.10000000000014
0,0,37,1,-6,6,-4,0,-1,-1,-4920,-0.8000000000000007,-3280,-52,-20,-5.199999999999999,-492.0
0,0,8,-2,-1,1,1,0,0,0,-1705,-0.20000000000000018,-1839,-17,-10,-1.6999999999999993,-170.5
0,1,8,-1,-1,1,3,1,-1,0,105,-0.20000000000000018,-1547,12,4,1.1999999999999993,10.5
1,0,3,-1,-2,2,-3,-1,0,0,-554,0.20000000000000018,521,-1,13,-0.09999999999999787,-55.40000000000009
0,1,1,1,-1,1,-1,-1,0,0,-1037,-0.20000000000000018,-1577,-43,9,-4.300000000000001,-103.70000000000005
0,1,3,-3,1,-1,-4,-1,1,-1,-1144,0.0,480,3,17,0.3000000000000007,-114.39999999999986
1,1,24,-1,1,-1,3,-1,0,0,1173,0.20000000000000018,953,14,-31,1.3999999999999986,117.29999999999995
0,1,5,-1,6,-6,9,-1,0,0,3194,0.40000000000000036,2534,24,-7,2.3999999999999986,319.4000000000001
0,1,1,3,-5,5,-6,1,0,0,-2622,-0.20000000000000018,-1136,12,2,1.1999999999999993,-262.20000000000005
1,1,0,1,2,-2,1,1,-1,0,1151,0.20000000000000018,470,37,2,3.6999999999999993,115.09999999999991
1,1,2,2,2,-2,0,1,1,0,1463,0.20000000000000018,1490,31,0,3.1000000000000014,146.29999999999995
0,0,-1,0,-2,2,-4,-1,-1,0,-1038,-0.20000000000000018,-1307,-5,-14,-0.5,-103.79999999999995
1,1,4,-2,4,-4,2,0,1,0,1424,0.1999999999999993,1060,32,-21,3.1999999999999993,142.4000000000001
1,0,6,-3,4,-4,13,1,0,0,527,0.40000000000000036,721,16,-19,1.5999999999999979,52.700000000000045
0,0,-35,1,1,-1,3,-1,-1,0,1807,0.40000000000000036,932,44,-14,4.399999999999999,180.70000000000005
0,1,27,6,7,-7,6,-1,1,0,2856,0.20000000000000018,1262,46,-29,4.600000000000001,285.5999999999999
0,0,-1,0,0,0,7,1,-1,0,-964,-0.40000000000000036,-2454,-37,0,-3.700000000000003,-96.40000000000009
0,0,-22,-5,-1,1,0,-1,1,0,-178,0.20000000000000018,524,21,4,2.099999999999998,-17.799999999999955
1,0,2,3,1,-1,-1,1,0,0,705,0.0,192,28,-3,2.8000000000000007,70.5
1,0,1,-1,0,0,-2,1,0,0,908,0.0,306,-2,11,-0.1999999999999993,90.79999999999995
1,0,-11,2,5,-5,9,1,1,0,3558,0.40000000000000036,3243,41,12,4.100000000000001,355.79999999999995
0,0,-41,5,-5,5,-3,-1,0,0,-1299,-0.20000000000000018,-49,23,9,2.3000000000000007,-129.9000000000001
1,0,-3,2,-3,3,1,1,0,0,-1763,-0.6000000000000005,-1864,-47,8,-4.699999999999999,-176.29999999999995
1,0,3,-1,6,-6,8,0,0,0,2547,0.8000000000000007,2189,-15,23,-1.5,254.70000000000005
0,0,-7,0,-7,7,-11,1,-1,0,-3685,-0.8000000000000007,-3119,10,-14,1.0,-368.5
0,1,48,11,-4,4,-4,-1,0,0,-3689,-0.7999999999999998,-4682,-22,-34,-2.200000000000003,-368.9000000000001
0,1,-16,0,-2,2,-4,-1,-1,0,-764,0.40000000000000036,803,3,27,0.3000000000000007,-76.39999999999986
1,1,2,1,7,-7,3,-1,0,0,3037,0.6000000000000005,2694,10,10,1.0,303.70000000000005
1,1,-5,1,0,0,-4,-1,0,1,3545,0.6000000000000005,2162,112,26,11.2,354.5
0,0,-2,-2,0,0,3,1,0,0,-1031,-0.20000000000000018,-394,-46,-12,-4.600000000000001,-103.09999999999991
0,0,1,-1,-5,5,-9,-1,0,0,-1796,0.0,-749,-1,15,-0.09999999999999787,-179.5999999999999
1,1,-1,4,1,-1,4,-1,0,0,1626,-0.20000000000000018,747,44,-14,4.399999999999999,162.5999999999999
1,0,28,0,-2,2,-1,-1,1,0,832,0.20000000000000018,1330,64,22,6.399999999999999,83.20000000000005
1,0,2,-2,5,-5,2,1,1,0,2750,0.40000000000000036,2647,39,0,3.8999999999999986,275.0
0,0,5,-2,-3,3,-7,0,1,0,-1524,-0.20000000000000018,-827,41,-11,4.099999999999998,-152.4000000000001
0,1,-4,2,-2,2,-7,1,0,0,-1370,-0.40000000000000036,-875,14,17,1.3999999999999986,-137.0
0,0,-3,0,-2,2,-3,-1,0,0,-1506,-0.40000000000000036,-412,-22,-1,-2.200000000000003,-150.5999999999999
0,0,-4,1,-1,1,-3,-1,-1,0,-1101,-0.40000000000000036,-718,-13,12,-1.3000000000000007,-110.09999999999991
0,0,3,0,5,-5,5,-1,1,0,2774,0.6000000000000005,2207,27,-3,2.6999999999999993,277.4000000000001
0,0,11,-3,-3,3,-4,-1,-1,0,-1806,0.0,-588,7,-11,0.6999999999999993,-180.5999999999999
0,0,-4,0,2,-2,4,1,-1,0,1265,0.20000000000000018,1248,41,-8,4.100000000000001,126.5
1,0,1,0,-8,8,-5,-1,0,0,-4443,-1.0,-4140,-27,-20,-2.6999999999999993,-444.3000000000002
0,0,3,-1,-2,2,-6,-1,0,0,-927,0.20000000000000018,967,17,11,1.6999999999999993,-92.70000000000005
1,1,-2,1,4,-4,6,-1,-1,0,1425,0.20000000000000018,728,13,-8,1.3000000000000007,142.5
1,0,0,3,2,-2,4,1,0,0,1177,0.40000000000000036,1161,7,-11,0.7000000000000028,117.69999999999982
1,1,2,-3,-5,5,-12,1,-1,0,-1586,0.20000000000000018,410,20,0,2.0,-158.5999999999999
0,0,1,0,-5,5,-3,1,1,0,-2896,-0.6000000000000005,-2081,-4,-32,-0.40000000000000213,-289.60000000000014
1,0,6,-2,3,-3,1,0,0,0,905,0.20000000000000018,1054,-38,8,-3.8000000000000007,90.5
0,1,-14,0,-8,8,-4,0,0,0,-3887,-0.7999999999999998,-3392,-24,-11,-2.400000000000002,-388.6999999999998
1,1,16,0,6,-6,5,1,0,0,3413,0.6000000000000005,2984,-8,8,-0.8000000000000007,341.29999999999995
0,1,-18,0,-2,2,-2,1,1,0,-256,-0.40000000000000036,-1580,-2,-4,-0.1999999999999993,-25.600000000000136
1,1,2,-2,-3,3,-4,0,0,0,-1820,-0.40000000000000036,-1412,-4,-1,-0.40000000000000213,-182.0
1,1,-88,0,2,-2,8,1,0,0,625,-0.20000000000000018,-534,7,-9,0.6999999999999993,62.5
0,0,-2,0,-4,4,-3,-1,0,0,-3628,-0.20000000000000018,-2009,-70,0,-7.0,-362.79999999999995
0,1,14,2,0,0,1,-1,1,0,769,0.39999999999999947,480,-16,13,-1.6000000000000014,76.90000000000009
0,0,0,2,0,0,2,1,-1,0,-576,0.0,-682,31,-23,3.099999999999998,-57.59999999999991
0,0,-28,14,-6,6,-6,-1,0,0,-3900,-1.1999999999999993,-3550,-42,-11,-4.199999999999999,-390.0
1,0,-5,0,1,-1,2,1,-1,0,-7,-0.20000000000000018,-231,-17,-17,-1.6999999999999993,-0.7000000000000455
1,1,-1,3,3,-3,5,-1,0,0,1683,0.20000000000000018,1433,-24,-12,-2.400000000000002,168.29999999999995
0,0,-1,-4,-7,7,-9,-1,0,0,-4782,-0.6000000000000005,-3408,-52,-11,-5.199999999999999,-478.20000000000005
1,1,24,2,2,-2,2,1,0,0,636,0.20000000000000018,-214,-10,-8,-1.0,63.600000000000136
1,0,27,-3,-7,7,-6,1,0,0,-3421,-1.0,-2624,-36,-12,-3.599999999999998,-342.0999999999999
1,0,-21,2,2,-2,1,1,0,0,976,0.40000000000000036,1599,10,19,1.0,97.59999999999991
0,0,23,-1,-1,1,-1,0,-1,0,-211,-0.40000000000000036,-1305,1,6,0.09999999999999787,-21.09999999999991
1,0,-17,2,2,-2,1,0,0,0,1221,0.0,462,18,4,1.8000000000000007,122.09999999999991
1,0,-18,2,6,-6,8,-1,0,0,2037,0.6000000000000005,1291,9,-44,0.9000000000000021,203.69999999999982
1,1,-23,3,3,-3,8,1,0,0,817,0.20000000000000018,-94,12,-22,1.2000000000000028,81.70000000000005
1,1,3,1,0,0,3,-1,0,0,-137,0.0,-351,-12,-24,-1.1999999999999993,-13.700000000000045
1,1,20,-3,-3,3,-8,1,0,0,-1539,-0.7999999999999998,-1497,21,-19,2.1000000000000014,-153.9000000000001
0,0,-49,2,-2,2,-6,-1,0,0,-1707,-0.5999999999999996,-1286,-25,-3,-2.5,-170.70000000000005
1,0,-4,0,-3,3,-11,1,0,0,-556,0.20000000000000018,-235,85,-5,8.5,-55.59999999999991
1,1,8,-2,2,-2,7,1,-1,0,-146,-0.20000000000000018,-717,-26,-7,-2.6000000000000014,-14.600000000000136
1,1,0,-1,8,-8,8,-1,1,0,4083,0.6000000000000005,2884,36,-15,3.599999999999998,408.29999999999995
1,0,-21,-1,0,0,-1,-1,0,0,1389,0.40000000000000036,1418,-3,15,-0.3000000000000007,138.89999999999986
0,0,12,2,-1,1,-2,1,-1,0,-890,0.0,-528,3,11,0.3000000000000007,-89.0
0,1,-6,0,-5,5,-10,0,0,0,-2519,0.0,-1095,-2,-14,-0.1999999999999993,-251.9000000000001
0,0,77,0,-11,11,-10,0,0,0,-4440,-1.2000000000000002,-4020,-18,-21,-1.8000000000000007,-444.0
1,1,-2,2,1,-1,3,-1,-1,0,1140,0.0,705,61,8,6.100000000000001,114.0
0,1,2,-1,-2,2,-1,0,0,0,-1656,-0.39999999999999947,-1832,-47,-11,-4.699999999999999,-165.5999999999999
1,0,-14,1,5,-5,10,-1,-1,0,2171,-0.1999999999999993,-261,-7,0,-0.6999999999999993,217.10000000000014
1,1,4,-1,8,-8,12,0,0,0,3841,0.40000000000000036,2484,-10,4,-1.0,384.0999999999999
1,0,-21,2,-7,7,-10,-1,1,1,-885,-0.6000000000000005,-2172,16,4,1.5999999999999979,-88.5
0,0,-1,-2,-5,5,-5,1,1,0,-2752,-0.6000000000000005,-2286,-50,8,-5.0,-275.1999999999998
1,1,0,-1,4,-4,11,0,0,0,2081,0.0,466,7,-13,0.6999999999999993,208.10000000000014
0,1,-1,3,1,-1,1,0,0,0,453,-0.20000000000000018,-19,23,2,2.3000000000000007,45.299999999999955
0,1,-25,-2,2,-2,2,1,-1,0,830,-0.20000000000000018,-1002,4,0,0.3999999999999986,83.0
0,0,4,-2,0,0,-3,0,0,0,94,-0.20000000000000018,-445,35,0,3.5,9.400000000000091
0,0,57,1,2,-2,6,1,1,0,-722,0.40000000000000036,891,-54,17,-5.399999999999999,-72.20000000000005
0,0,-20,-4,-1,1,-1,-1,1,0,-1491,-0.20000000000000018,-799,8,-6,0.8000000000000007,-149.0999999999999
0,0,-3,0,-8,8,-13,-1,-1,0,-3109,-0.20000000000000018,-1745,-3,22,-0.3000000000000007,-310.89999999999986
0,1,-1,0,-4,4,-2,-1,0,0,537,0.0,-477,52,5,5.199999999999999,53.700000000000045
1,0,-24,8,8,-8,4,1,1,0,4079,1.2000000000000002,5568,14,31,1.3999999999999986,407.89999999999986
1,0,74,2,5,-5,7,0,0,1,4006,0.6000000000000005,2081,3,3,0.3000000000000007,400.5999999999999
0,1,2,2,-7,7,-6,-1,-1,0,-3582,-1.1999999999999993,-5395,-46,-15,-4.600000000000001,-358.20000000000005
1,0,-3,1,0,0,0,-1,0,0,-355,0.0,233,-19,8,-1.8999999999999986,-35.5
1,1,-23,10,1,-1,2,0,0,1,3464,0.1999999999999993,994,29,24,2.8999999999999986,346.39999999999986
1,1,4,1,4,-4,6,1,-1,0,2217,0.40000000000000036,2183,-4,28,-0.3999999999999986,221.70000000000005
1,1,0,-2,5,-5,7,1,1,0,3049,0.20000000000000018,1511,1,5,0.10000000000000142,304.89999999999986
1,0,-12,0,-1,1,-3,1,0,0,-305,0.0,-474,-1,4,-0.09999999999999787,-30.5
0,0,39,0,2,-2,5,1,-1,0,1325,0.0,479,11,-1,1.0999999999999979,132.5
1,1,3,-2,0,0,1,-1,0,0,-53,0.0,87,18,-8,1.8000000000000007,-5.2999999999999545
0,0,19,-3,-4,4,-2,-1,0,0,-2865,-0.20000000000000018,-1441,-41,8,-4.099999999999998,-286.5
0,1,-23,1,0,0,-3,-1,0,0,-93,-0.20000000000000018,-561,-2,2,-0.1999999999999993,-9.299999999999955
0,1,4,2,-1,1,-3,-1,0,0,-420,-0.6000000000000005,-1185,13,-4,1.3000000000000007,-42.0
1,1,-38,0,4,-4,3,1,-1,0,5008,0.6000000000000005,2355,74,19,7.400000000000002,500.79999999999995
0,1,0,-1,-2,2,-4,-1,-1,0,-2074,-0.39999999999999947,-1795,-8,-3,-0.8000000000000007,-207.39999999999986
1,0,-6,2,1,-1,0,0,1,0,-3,0.20000000000000018,1013,-2,15,-0.1999999999999993,-0.2999999999999545
0,1,-6,-1,0,0,-2,-1,-1,0,-837,0.0,-660,-36,0,-3.599999999999998,-83.69999999999982
1,1,1,-2,0,0,0,1,-1,0,510,-0.40000000000000036,-747,13,-16,1.2999999999999972,51.0
0,0,2,-1,-5,5,-4,1,0,0,-3549,-0.6000000000000005,-2407,-14,-17,-1.3999999999999986,-354.9000000000001
1,0,-39,2,0,0,-1,-1,0,0,272,0.40000000000000036,359,41,-12,4.100000000000001,27.199999999999818
1,1,-27,-1,4,-4,4,0,0,0,2187,0.20000000000000018,2189,24,-1,2.3999999999999986,218.69999999999982
0,0,1,-1,-6,6,-7,0,-1,-1,-4907,-0.7999999999999998,-2556,-20,-7,-2.0,-490.70000000000005
1,1,-2,2,1,-1,-2,1,0,0,63,0.40000000000000036,648,28,0,2.8000000000000007,6.2999999999999545
1,0,2,-2,-4,4,-7,-1,1,0,-2132,0.0,-484,-8,21,-0.8000000000000007,-213.20000000000005
0,0,-3,2,-1,1,-3,-1,1,0,-976,-0.5999999999999996,-964,-11,2,-1.0999999999999979,-97.60000000000014
0,1,50,-2,-2,2,-3,-1,0,0,-1342,-0.6000000000000005,-1966,-32,8,-3.1999999999999993,-134.19999999999982
1,1,2,-2,6,-6,3,1,0,0,2304,1.0,2532,21,-4,2.099999999999998,230.4000000000001
1,0,-68,3,8,-8,10,-1,0,0,4219,0.6000000000000005,3379,-1,14,-0.09999999999999787,421.89999999999986
0,1,-24,1,-1,1,-2,0,0,0,-2049,-0.40000000000000036,-2340,-63,-1,-6.300000000000001,-204.89999999999986
0,0,-4,0,-4,4,-2,-1,0,0,-4179,-0.7999999999999998,-3823,-49,-19,-4.900000000000002,-417.9000000000001
0,0,-2,2,0,0,6,-1,0,0,-66,0.20000000000000018,-1073,24,-16,2.3999999999999986,-6.599999999999909
1,0,2,2,2,-2,9,1,1,0,510,0.0,142,-37,4,-3.6999999999999993,51.0
0,1,0,1,1,-1,1,-1,1,0,2591,0.40000000000000036,1567,55,18,5.5,259.0999999999999
0,1,1,0,-8,8,-15,-1,0,-1,-3772,-1.0,-3034,21,-7,2.1000000000000014,-377.20000000000005
0,1,8,-1,0,0,4,1,0,0,965,-0.20000000000000018,-878,7,-8,0.6999999999999993,96.5
0,0,-3,-1,-4,4,-6,-1,-1,0,-3468,-0.8000000000000007,-2158,-36,-36,-3.599999999999998,-346.79999999999995
1,1,12,1,11,-11,11,0,0,0,6153,1.0,3916,16,9,1.5999999999999979,615.3
0,0,-41,-2,-5,5,-8,-1,0,0,-2216,-0.5999999999999996,-2730,4,0,0.40000000000000213,-221.60000000000014
0,0,-2,-2,-5,5,-10,1,0,0,-2308,-0.6000000000000005,-1767,-15,11,-1.5,-230.80000000000018
1,1,3,2,0,0,2,-1,1,0,1917,-0.40000000000000036,-179,16,3,1.6000000000000014,191.70000000000005
0,0,1,0,-3,3,-2,-1,0,0,-1676,-0.40000000000000036,-1759,24,-32,2.400000000000002,-167.5999999999999
1,1,5,1,5,-5,1,1,0,0,2709,0.40000000000000036,1259,28,-12,2.8000000000000007,270.9000000000001
