blueWins,blueFirstBlood,blueActiveWards,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueCSPerMin,blueGoldPerMin,redActiveWards,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin
0,1,22,9,11,0,0,0,6.6,17039,195,36,19.5,1721,13,6,8,0,0,0,6.8,17047,197,55,19.7,1656.7
0,0,11,5,5,0,0,0,6.6,16265,174,43,17.4,1471.2,11,5,2,1,1,1,6.8,17438,240,52,24,1762
0,0,12,7,4,1,0,0,6.4,16221,186,46,18.6,1611.3,15,11,14,0,0,0,6.8,17254,203,28,20.3,1728.5
0,0,41,4,5,0,1,0,7,17954,201,55,20.1,1515.7,14,5,10,0,0,0,7,17961,235,47,23.5,1647.8
0,0,73,6,6,0,0,0,7,18543,210,57,21,1640,13,6,7,1,0,0,7,18313,225,67,22.5,1740.4
1,0,13,5,6,1,0,0,7,18161,225,42,22.5,1589.9,36,3,2,0,0,0,7,18060,221,59,22.1,1520.1
1,1,17,7,7,1,0,0,6.8,16967,225,53,22.5,1687.4,54,6,9,0,0,0,6.4,15404,164,35,16.4,1446.3
0,0,16,5,3,0,0,0,6.4,16138,209,48,20.9,1530.5,13,13,11,1,0,0,6.6,16938,157,54,15.7,1792
0,0,14,7,8,0,0,0,7.2,18527,189,61,18.9,1640.1,12,7,5,1,1,0,7.2,19298,240,53,24,1838
1,1,11,4,5,1,0,0,6.8,16805,220,39,22,1505.7,15,5,4,0,0,0,6.8,18379,247,43,24.7,1660.5
0,1,18,4,6,0,0,0,6.6,16611,231,28,23.1,1547.4,12,4,5,1,0,0,7.2,18196,216,51,21.6,1514.3
0,1,32,11,7,0,1,0,7,18507,157,40,15.7,1669.5,15,11,9,0,0,0,7,19142,188,52,18.8,1820
1,1,17,7,11,1,0,0,7.4,19102,238,53,23.8,1786.5,11,1,1,0,0,0,6.8,17443,240,50,24,1459.1
0,0,11,4,1,0,1,0,6.6,17213,210,52,21,1497.9,17,9,11,0,0,0,7.2,18354,229,51,22.9,1839.3
1,1,14,4,4,0,0,0,6.8,17896,224,51,22.4,1572.2,99,4,3,0,0,0,7,18083,242,48,24.2,1619.2
0,0,14,3,3,0,0,0,6.8,16974,209,53,20.9,1501.5,17,7,13,0,0,0,7.2,18778,237,51,23.7,1701.1
1,1,12,10,8,0,0,0,7.6,20862,263,56,26.3,1973.3,12,2,2,1,0,0,6.8,17484,210,64,21,1450.5
0,0,29,3,3,0,1,0,6.8,16888,203,54,20.3,1485.2,14,7,6,0,0,0,6.8,18233,218,53,21.8,1682.7
1,1,18,5,11,0,0,0,6.8,17378,213,49,21.3,1628.2,15,4,3,1,1,0,6.6,16866,228,52,22.8,1540
0,0,10,5,5,0,0,0,7,17924,188,48,18.8,1499.4,12,9,9,0,0,0,7.4,20697,219,56,21.9,1814.9
1,1,12,11,15,1,0,0,7.2,19254,214,45,21.4,1860.6,9,6,4,0,0,0,7,17629,225,48,22.5,1608
